attack_1.37;+1 Attack;;;;;;;;;;;;;;
attack_1.38;+1 Attack;;;;;;;;;;;;;;
attack_1.39;+1 Attack;;;;;;;;;;;;;;
attack_1.40;+1 Attack;;;;;;;;;;;;;;
attack_1.41;+1 Attack;;;;;;;;;;;;;;
attack_1.42;+1 Attack;;;;;;;;;;;;;;
attack_1.43;+1 Attack;;;;;;;;;;;;;;
attack_1.44;+1 Attack;;;;;;;;;;;;;;
attack_1.45;+1 Attack;;;;;;;;;;;;;;
attack_1.46;+1 Attack;;;;;;;;;;;;;;
attack_1.47;+1 Attack;;;;;;;;;;;;;;
attack_1.48;+1 Attack;;;;;;;;;;;;;;
attack_1.49;+1 Attack;;;;;;;;;;;;;;
attack_1.50;+1 Attack;;;;;;;;;;;;;;
attack_1.51;+1 Attack;;;;;;;;;;;;;;
attack_1.52;+1 Attack;;;;;;;;;;;;;;
attack_1.53;+1 Attack;;;;;;;;;;;;;;
attack_1.54;+1 Attack;;;;;;;;;;;;;;
attack_1.55;+1 Attack;;;;;;;;;;;;;;
attack_1.56;+1 Attack;;;;;;;;;;;;;;
attack_1.57;+1 Attack;;;;;;;;;;;;;;
attack_1.58;+1 Attack;;;;;;;;;;;;;;
attack_1.59;+1 Attack;;;;;;;;;;;;;;
attack_1.60;+1 Attack;;;;;;;;;;;;;;
attack_1.61;+1 Attack;;;;;;;;;;;;;;
attack_1.62;+1 Attack;;;;;;;;;;;;;;
attack_1.63;+1 Attack;;;;;;;;;;;;;;
attack_1.64;+1 Attack;;;;;;;;;;;;;;
attack_1.65;+1 Attack;;;;;;;;;;;;;;
attack_1.66;+1 Attack;;;;;;;;;;;;;;
attack_1.67;+1 Attack;;;;;;;;;;;;;;
attack_1.68;+1 Attack;;;;;;;;;;;;;;
attack_1.69;+1 Attack;;;;;;;;;;;;;;
attack_1.70;+1 Attack;;;;;;;;;;;;;;
attack_1.71;+1 Attack;;;;;;;;;;;;;;
attack_1.72;+1 Attack;;;;;;;;;;;;;;
attack_1.73;+1 Attack;;;;;;;;;;;;;;
attack_1.74;+1 Attack;;;;;;;;;;;;;;
attack_1.75;+1 Attack;;;;;;;;;;;;;;
attack_1.76;+1 Attack;;;;;;;;;;;;;;
attack_1.77;+1 Attack;;;;;;;;;;;;;;
attack_1.78;+1 Attack;;;;;;;;;;;;;;
attack_1.79;+1 Attack;;;;;;;;;;;;;;
attack_1.80;+1 Attack;;;;;;;;;;;;;;
attack_1.81;+1 Attack;;;;;;;;;;;;;;
attack_1.82;+1 Attack;;;;;;;;;;;;;;
attack_1.83;+1 Attack;;;;;;;;;;;;;;
attack_1.84;+1 Attack;;;;;;;;;;;;;;
attack_1.85;+1 Attack;;;;;;;;;;;;;;
attack_1.86;+1 Attack;;;;;;;;;;;;;;
attack_1.87;+1 Attack;;;;;;;;;;;;;;
attack_1.88;+1 Attack;;;;;;;;;;;;;;
attack_1.89;+1 Attack;;;;;;;;;;;;;;
attack_1.90;+1 Attack;;;;;;;;;;;;;;
attack_1.91;+1 Attack;;;;;;;;;;;;;;
attack_1.92;+1 Attack;;;;;;;;;;;;;;
attack_1.93;+1 Attack;;;;;;;;;;;;;;
attack_1.94;+1 Attack;;;;;;;;;;;;;;
attack_1.95;+1 Attack;;;;;;;;;;;;;;
attack_1.96;+1 Attack;;;;;;;;;;;;;;
attack_1.97;+1 Attack;;;;;;;;;;;;;;
attack_1.98;+1 Attack;;;;;;;;;;;;;;
attack_1.99;+1 Attack;;;;;;;;;;;;;;
attack_1.100;+1 Attack;;;;;;;;;;;;;;
attack_1.101;+1 Attack;;;;;;;;;;;;;;
attack_1.102;+1 Attack;;;;;;;;;;;;;;
attack_1.103;+1 Attack;;;;;;;;;;;;;;
attack_1.104;+1 Attack;;;;;;;;;;;;;;
attack_1.105;+1 Attack;;;;;;;;;;;;;;
attack_1.106;+1 Attack;;;;;;;;;;;;;;
attack_1.107;+1 Attack;;;;;;;;;;;;;;
attack_1.108;+1 Attack;;;;;;;;;;;;;;
attack_1.109;+1 Attack;;;;;;;;;;;;;;
attack_1.110;+1 Attack;;;;;;;;;;;;;;
attack_1.111;+1 Attack;;;;;;;;;;;;;;
attack_1.112;+1 Attack;;;;;;;;;;;;;;
attack_1.113;+1 Attack;;;;;;;;;;;;;;
attack_1.114;+1 Attack;;;;;;;;;;;;;;
attack_1.115;+1 Attack;;;;;;;;;;;;;;
attack_1.116;+1 Attack;;;;;;;;;;;;;;
attack_1.117;+1 Attack;;;;;;;;;;;;;;
attack_1.118;+1 Attack;;;;;;;;;;;;;;
attack_1.119;+1 Attack;;;;;;;;;;;;;;
attack_1.120;+1 Attack;;;;;;;;;;;;;;
attack_1.121;+1 Attack;;;;;;;;;;;;;;
attack_1.122;+1 Attack;;;;;;;;;;;;;;
attack_1.123;+1 Attack;;;;;;;;;;;;;;
attack_1.124;+1 Attack;;;;;;;;;;;;;;
attack_1.125;+1 Attack;;;;;;;;;;;;;;
attack_1.126;+1 Attack;;;;;;;;;;;;;;
attack_1.127;+1 Attack;;;;;;;;;;;;;;
attack_1.128;+1 Attack;;;;;;;;;;;;;;
attack_1.129;+1 Attack;;;;;;;;;;;;;;
attack_1.130;+1 Attack;;;;;;;;;;;;;;
attack_1.131;+1 Attack;;;;;;;;;;;;;;
attack_1.132;+1 Attack;;;;;;;;;;;;;;
attack_1.133;+1 Attack;;;;;;;;;;;;;;
attack_1.134;+1 Attack;;;;;;;;;;;;;;
attack_1.135;+1 Attack;;;;;;;;;;;;;;
attack_1.136;+1 Attack;;;;;;;;;;;;;;
attack_1.137;+1 Attack;;;;;;;;;;;;;;
attack_1.138;+1 Attack;;;;;;;;;;;;;;
attack_1.139;+1 Attack;;;;;;;;;;;;;;
attack_1.140;+1 Attack;;;;;;;;;;;;;;
attack_1.141;+1 Attack;;;;;;;;;;;;;;
attack_1.142;+1 Attack;;;;;;;;;;;;;;
attack_1.143;+1 Attack;;;;;;;;;;;;;;
attack_1.144;+1 Attack;;;;;;;;;;;;;;
attack_1.145;+1 Attack;;;;;;;;;;;;;;
attack_1.146;+1 Attack;;;;;;;;;;;;;;
attack_1.147;+1 Attack;;;;;;;;;;;;;;
attack_1.148;+1 Attack;;;;;;;;;;;;;;
attack_1.149;+1 Attack;;;;;;;;;;;;;;
attack_1.150;+1 Attack;;;;;;;;;;;;;;
attack_1.151;+1 Attack;;;;;;;;;;;;;;
attack_1.152;+1 Attack;;;;;;;;;;;;;;
attack_1.153;+1 Attack;;;;;;;;;;;;;;
attack_1.154;+1 Attack;;;;;;;;;;;;;;
attack_1.155;+1 Attack;;;;;;;;;;;;;;
attack_1.156;+1 Attack;;;;;;;;;;;;;;
attack_1.157;+1 Attack;;;;;;;;;;;;;;
attack_1.158;+1 Attack;;;;;;;;;;;;;;
attack_1.159;+1 Attack;;;;;;;;;;;;;;
attack_1.160;+1 Attack;;;;;;;;;;;;;;
attack_1.161;+1 Attack;;;;;;;;;;;;;;
attack_1.162;+1 Attack;;;;;;;;;;;;;;
attack_1.163;+1 Attack;;;;;;;;;;;;;;
attack_1.164;+1 Attack;;;;;;;;;;;;;;
attack_1.165;+1 Attack;;;;;;;;;;;;;;
attack_1.166;+1 Attack;;;;;;;;;;;;;;
attack_1.167;+1 Attack;;;;;;;;;;;;;;
attack_1.168;+1 Attack;;;;;;;;;;;;;;
attack_1.169;+1 Attack;;;;;;;;;;;;;;
attack_1.170;+1 Attack;;;;;;;;;;;;;;
attack_1.171;+1 Attack;;;;;;;;;;;;;;
attack_1.172;+1 Attack;;;;;;;;;;;;;;
attack_1.173;+1 Attack;;;;;;;;;;;;;;
attack_1.174;+1 Attack;;;;;;;;;;;;;;
attack_1.175;+1 Attack;;;;;;;;;;;;;;
attack_1.176;+1 Attack;;;;;;;;;;;;;;
attack_1.177;+1 Attack;;;;;;;;;;;;;;
attack_1.178;+1 Attack;;;;;;;;;;;;;;
attack_1.179;+1 Attack;;;;;;;;;;;;;;
attack_1.180;+1 Attack;;;;;;;;;;;;;;
attack_1.181;+1 Attack;;;;;;;;;;;;;;
attack_1.182;+1 Attack;;;;;;;;;;;;;;
attack_1.183;+1 Attack;;;;;;;;;;;;;;
attack_1.184;+1 Attack;;;;;;;;;;;;;;
attack_1.185;+1 Attack;;;;;;;;;;;;;;
attack_1.186;+1 Attack;;;;;;;;;;;;;;
attack_1.187;+1 Attack;;;;;;;;;;;;;;
attack_1.188;+1 Attack;;;;;;;;;;;;;;
attack_1.189;+1 Attack;;;;;;;;;;;;;;
attack_1.190;+1 Attack;;;;;;;;;;;;;;
attack_1.191;+1 Attack;;;;;;;;;;;;;;
attack_1.192;+1 Attack;;;;;;;;;;;;;;
attack_1.193;+1 Attack;;;;;;;;;;;;;;
attack_1.194;+1 Attack;;;;;;;;;;;;;;
attack_1.195;+1 Attack;;;;;;;;;;;;;;
attack_1.196;+1 Attack;;;;;;;;;;;;;;
attack_1.197;+1 Attack;;;;;;;;;;;;;;
attack_1.198;+1 Attack;;;;;;;;;;;;;;
attack_1.199;+1 Attack;;;;;;;;;;;;;;
attack_1.200;+1 Attack;;;;;;;;;;;;;;
attack_2.1;§B+2 Attack;;;;;;;;;;;;;;
attack_2.2;§B+2 Attack;;;;;;;;;;;;;;
attack_2.3;§B+2 Attack;;;;;;;;;;;;;;
attack_2.4;§B+2 Attack;;;;;;;;;;;;;;
attack_2.5;§B+2 Attack;;;;;;;;;;;;;;
attack_2.6;§B+2 Attack;;;;;;;;;;;;;;
attack_2.7;§B+2 Attack;;;;;;;;;;;;;;
attack_2.8;§B+2 Attack;;;;;;;;;;;;;;
attack_2.9;§B+2 Attack;;;;;;;;;;;;;;
attack_2.10;§B+2 Attack;;;;;;;;;;;;;;
attack_2.11;§B+2 Attack;;;;;;;;;;;;;;
attack_2.12;§B+2 Attack;;;;;;;;;;;;;;
attack_2.13;§B+2 Attack;;;;;;;;;;;;;;
attack_2.14;§B+2 Attack;;;;;;;;;;;;;;
attack_2.15;§B+2 Attack;;;;;;;;;;;;;;
attack_2.16;§B+2 Attack;;;;;;;;;;;;;;
attack_2.17;§B+2 Attack;;;;;;;;;;;;;;
attack_2.18;§B+2 Attack;;;;;;;;;;;;;;
attack_2.19;§B+2 Attack;;;;;;;;;;;;;;
attack_2.20;§B+2 Attack;;;;;;;;;;;;;;
attack_2.21;§B+2 Attack;;;;;;;;;;;;;;
attack_2.22;§B+2 Attack;;;;;;;;;;;;;;
attack_2.23;§B+2 Attack;;;;;;;;;;;;;;
attack_2.24;§B+2 Attack;;;;;;;;;;;;;;
attack_2.25;§B+2 Attack;;;;;;;;;;;;;;
attack_2.26;§B+2 Attack;;;;;;;;;;;;;;
attack_2.27;§B+2 Attack;;;;;;;;;;;;;;
attack_2.28;§B+2 Attack;;;;;;;;;;;;;;
attack_2.29;§B+2 Attack;;;;;;;;;;;;;;
attack_2.30;§B+2 Attack;;;;;;;;;;;;;;
attack_2.31;§B+2 Attack;;;;;;;;;;;;;;
attack_2.32;§B+2 Attack;;;;;;;;;;;;;;
attack_2.33;§B+2 Attack;;;;;;;;;;;;;;
attack_2.34;§B+2 Attack;;;;;;;;;;;;;;
attack_2.35;§B+2 Attack;;;;;;;;;;;;;;
attack_2.36;§B+2 Attack;;;;;;;;;;;;;;
attack_2.37;§B+2 Attack;;;;;;;;;;;;;;
attack_2.38;§B+2 Attack;;;;;;;;;;;;;;
attack_2.39;§B+2 Attack;;;;;;;;;;;;;;
attack_2.40;§B+2 Attack;;;;;;;;;;;;;;
attack_2.41;§B+2 Attack;;;;;;;;;;;;;;
attack_2.42;§B+2 Attack;;;;;;;;;;;;;;
attack_2.43;§B+2 Attack;;;;;;;;;;;;;;
attack_2.44;§B+2 Attack;;;;;;;;;;;;;;
attack_2.45;§B+2 Attack;;;;;;;;;;;;;;
attack_2.46;§B+2 Attack;;;;;;;;;;;;;;
attack_2.47;§B+2 Attack;;;;;;;;;;;;;;
attack_2.48;§B+2 Attack;;;;;;;;;;;;;;
attack_2.49;§B+2 Attack;;;;;;;;;;;;;;
attack_2.50;§B+2 Attack;;;;;;;;;;;;;;
attack_2.51;§B+2 Attack;;;;;;;;;;;;;;
attack_2.52;§B+2 Attack;;;;;;;;;;;;;;
attack_2.53;§B+2 Attack;;;;;;;;;;;;;;
attack_2.54;§B+2 Attack;;;;;;;;;;;;;;
attack_2.55;§B+2 Attack;;;;;;;;;;;;;;
attack_2.56;§B+2 Attack;;;;;;;;;;;;;;
attack_2.57;§B+2 Attack;;;;;;;;;;;;;;
attack_2.58;§B+2 Attack;;;;;;;;;;;;;;
attack_2.59;§B+2 Attack;;;;;;;;;;;;;;
attack_2.60;§B+2 Attack;;;;;;;;;;;;;;
attack_2.61;§B+2 Attack;;;;;;;;;;;;;;
attack_2.62;§B+2 Attack;;;;;;;;;;;;;;
attack_2.63;§B+2 Attack;;;;;;;;;;;;;;
attack_2.64;§B+2 Attack;;;;;;;;;;;;;;
attack_2.65;§B+2 Attack;;;;;;;;;;;;;;
attack_2.66;§B+2 Attack;;;;;;;;;;;;;;
attack_2.67;§B+2 Attack;;;;;;;;;;;;;;
attack_2.68;§B+2 Attack;;;;;;;;;;;;;;
attack_2.69;§B+2 Attack;;;;;;;;;;;;;;
attack_2.70;§B+2 Attack;;;;;;;;;;;;;;
attack_2.71;§B+2 Attack;;;;;;;;;;;;;;
attack_2.72;§B+2 Attack;;;;;;;;;;;;;;
attack_2.73;§B+2 Attack;;;;;;;;;;;;;;
attack_2.74;§B+2 Attack;;;;;;;;;;;;;;
attack_2.75;§B+2 Attack;;;;;;;;;;;;;;
attack_2.76;§B+2 Attack;;;;;;;;;;;;;;
attack_2.77;§B+2 Attack;;;;;;;;;;;;;;
attack_2.78;§B+2 Attack;;;;;;;;;;;;;;
attack_2.79;§B+2 Attack;;;;;;;;;;;;;;
attack_2.80;§B+2 Attack;;;;;;;;;;;;;;
attack_2.81;§B+2 Attack;;;;;;;;;;;;;;
attack_2.82;§B+2 Attack;;;;;;;;;;;;;;
attack_2.83;§B+2 Attack;;;;;;;;;;;;;;
attack_2.84;§B+2 Attack;;;;;;;;;;;;;;
attack_2.85;§B+2 Attack;;;;;;;;;;;;;;
attack_2.86;§B+2 Attack;;;;;;;;;;;;;;
attack_2.87;§B+2 Attack;;;;;;;;;;;;;;
attack_2.88;§B+2 Attack;;;;;;;;;;;;;;
attack_2.89;§B+2 Attack;;;;;;;;;;;;;;
attack_2.90;§B+2 Attack;;;;;;;;;;;;;;
attack_2.91;§B+2 Attack;;;;;;;;;;;;;;
attack_2.92;§B+2 Attack;;;;;;;;;;;;;;
attack_2.93;§B+2 Attack;;;;;;;;;;;;;;
attack_2.94;§B+2 Attack;;;;;;;;;;;;;;
attack_2.95;§B+2 Attack;;;;;;;;;;;;;;
attack_2.96;§B+2 Attack;;;;;;;;;;;;;;
attack_2.97;§B+2 Attack;;;;;;;;;;;;;;
attack_2.98;§B+2 Attack;;;;;;;;;;;;;;
attack_2.99;§B+2 Attack;;;;;;;;;;;;;;
attack_2.100;§B+2 Attack;;;;;;;;;;;;;;
attack_3.1;§G+3 Attack;;;;;;;;;;;;;;
attack_3.2;§G+3 Attack;;;;;;;;;;;;;;
attack_3.3;§G+3 Attack;;;;;;;;;;;;;;
attack_3.4;§G+3 Attack;;;;;;;;;;;;;;
attack_3.5;§G+3 Attack;;;;;;;;;;;;;;
attack_3.6;§G+3 Attack;;;;;;;;;;;;;;
attack_3.7;§G+3 Attack;;;;;;;;;;;;;;
attack_3.8;§G+3 Attack;;;;;;;;;;;;;;
attack_3.9;§G+3 Attack;;;;;;;;;;;;;;
attack_3.10;§G+3 Attack;;;;;;;;;;;;;;
attack_3.11;§G+3 Attack;;;;;;;;;;;;;;
attack_3.12;§G+3 Attack;;;;;;;;;;;;;;
attack_3.13;§G+3 Attack;;;;;;;;;;;;;;
attack_3.14;§G+3 Attack;;;;;;;;;;;;;;
attack_3.15;§G+3 Attack;;;;;;;;;;;;;;
attack_3.16;§G+3 Attack;;;;;;;;;;;;;;
attack_3.17;§G+3 Attack;;;;;;;;;;;;;;
attack_3.18;§G+3 Attack;;;;;;;;;;;;;;
attack_3.19;§G+3 Attack;;;;;;;;;;;;;;
attack_3.20;§G+3 Attack;;;;;;;;;;;;;;
attack_4.1;§R+4 Attack;;;;;;;;;;;;;;
attack_4.2;§R+4 Attack;;;;;;;;;;;;;;
attack_4.3;§R+4 Attack;;;;;;;;;;;;;;
attack_4.4;§R+4 Attack;;;;;;;;;;;;;;
attack_5.1;§W+5 Attack;;;;;;;;;;;;;;
defence_1.1;+1 Defence;;;;;;;;;;;;;;
defence_1.2;+1 Defence;;;;;;;;;;;;;;
defence_1.3;+1 Defence;;;;;;;;;;;;;;
defence_1.4;+1 Defence;;;;;;;;;;;;;;
defence_1.5;+1 Defence;;;;;;;;;;;;;;
defence_1.6;+1 Defence;;;;;;;;;;;;;;
defence_1.7;+1 Defence;;;;;;;;;;;;;;
defence_1.8;+1 Defence;;;;;;;;;;;;;;
defence_1.9;+1 Defence;;;;;;;;;;;;;;
defence_1.10;+1 Defence;;;;;;;;;;;;;;
defence_1.11;+1 Defence;;;;;;;;;;;;;;
defence_1.12;+1 Defence;;;;;;;;;;;;;;
defence_1.13;+1 Defence;;;;;;;;;;;;;;
defence_1.14;+1 Defence;;;;;;;;;;;;;;
defence_1.15;+1 Defence;;;;;;;;;;;;;;
defence_1.16;+1 Defence;;;;;;;;;;;;;;
defence_1.17;+1 Defence;;;;;;;;;;;;;;
defence_1.18;+1 Defence;;;;;;;;;;;;;;
defence_1.19;+1 Defence;;;;;;;;;;;;;;
defence_1.20;+1 Defence;;;;;;;;;;;;;;
defence_1.21;+1 Defence;;;;;;;;;;;;;;
defence_1.22;+1 Defence;;;;;;;;;;;;;;
defence_1.23;+1 Defence;;;;;;;;;;;;;;
defence_1.24;+1 Defence;;;;;;;;;;;;;;
defence_1.25;+1 Defence;;;;;;;;;;;;;;
defence_1.26;+1 Defence;;;;;;;;;;;;;;
defence_1.27;+1 Defence;;;;;;;;;;;;;;
defence_1.28;+1 Defence;;;;;;;;;;;;;;
defence_1.29;+1 Defence;;;;;;;;;;;;;;
defence_1.30;+1 Defence;;;;;;;;;;;;;;
defence_1.31;+1 Defence;;;;;;;;;;;;;;
defence_1.32;+1 Defence;;;;;;;;;;;;;;
defence_1.33;+1 Defence;;;;;;;;;;;;;;
defence_1.34;+1 Defence;;;;;;;;;;;;;;
defence_1.35;+1 Defence;;;;;;;;;;;;;;
defence_1.36;+1 Defence;;;;;;;;;;;;;;
defence_1.37;+1 Defence;;;;;;;;;;;;;;
defence_1.38;+1 Defence;;;;;;;;;;;;;;
defence_1.39;+1 Defence;;;;;;;;;;;;;;
defence_1.40;+1 Defence;;;;;;;;;;;;;;
defence_1.41;+1 Defence;;;;;;;;;;;;;;
defence_1.42;+1 Defence;;;;;;;;;;;;;;
defence_1.43;+1 Defence;;;;;;;;;;;;;;
defence_1.44;+1 Defence;;;;;;;;;;;;;;
defence_1.45;+1 Defence;;;;;;;;;;;;;;
defence_1.46;+1 Defence;;;;;;;;;;;;;;
defence_1.47;+1 Defence;;;;;;;;;;;;;;
defence_1.48;+1 Defence;;;;;;;;;;;;;;
defence_1.49;+1 Defence;;;;;;;;;;;;;;
defence_1.50;+1 Defence;;;;;;;;;;;;;;
defence_1.51;+1 Defence;;;;;;;;;;;;;;
defence_1.52;+1 Defence;;;;;;;;;;;;;;
defence_1.53;+1 Defence;;;;;;;;;;;;;;
defence_1.54;+1 Defence;;;;;;;;;;;;;;
defence_1.55;+1 Defence;;;;;;;;;;;;;;
defence_1.56;+1 Defence;;;;;;;;;;;;;;
defence_1.57;+1 Defence;;;;;;;;;;;;;;
defence_1.58;+1 Defence;;;;;;;;;;;;;;
defence_1.59;+1 Defence;;;;;;;;;;;;;;
defence_1.60;+1 Defence;;;;;;;;;;;;;;
defence_1.61;+1 Defence;;;;;;;;;;;;;;
defence_1.62;+1 Defence;;;;;;;;;;;;;;
defence_1.63;+1 Defence;;;;;;;;;;;;;;
defence_1.64;+1 Defence;;;;;;;;;;;;;;
defence_1.65;+1 Defence;;;;;;;;;;;;;;
defence_1.66;+1 Defence;;;;;;;;;;;;;;
defence_1.67;+1 Defence;;;;;;;;;;;;;;
defence_1.68;+1 Defence;;;;;;;;;;;;;;
defence_1.69;+1 Defence;;;;;;;;;;;;;;
defence_1.70;+1 Defence;;;;;;;;;;;;;;
defence_1.71;+1 Defence;;;;;;;;;;;;;;
defence_1.72;+1 Defence;;;;;;;;;;;;;;
defence_1.73;+1 Defence;;;;;;;;;;;;;;
defence_1.74;+1 Defence;;;;;;;;;;;;;;
defence_1.75;+1 Defence;;;;;;;;;;;;;;
defence_1.76;+1 Defence;;;;;;;;;;;;;;
defence_1.77;+1 Defence;;;;;;;;;;;;;;
defence_1.78;+1 Defence;;;;;;;;;;;;;;
defence_1.79;+1 Defence;;;;;;;;;;;;;;
defence_1.80;+1 Defence;;;;;;;;;;;;;;
defence_1.81;+1 Defence;;;;;;;;;;;;;;
defence_1.82;+1 Defence;;;;;;;;;;;;;;
defence_1.83;+1 Defence;;;;;;;;;;;;;;
defence_1.84;+1 Defence;;;;;;;;;;;;;;
defence_1.85;+1 Defence;;;;;;;;;;;;;;
defence_1.86;+1 Defence;;;;;;;;;;;;;;
defence_1.87;+1 Defence;;;;;;;;;;;;;;
defence_1.88;+1 Defence;;;;;;;;;;;;;;
defence_1.89;+1 Defence;;;;;;;;;;;;;;
defence_1.90;+1 Defence;;;;;;;;;;;;;;
defence_1.91;+1 Defence;;;;;;;;;;;;;;
defence_1.92;+1 Defence;;;;;;;;;;;;;;
defence_1.93;+1 Defence;;;;;;;;;;;;;;
defence_1.94;+1 Defence;;;;;;;;;;;;;;
defence_1.95;+1 Defence;;;;;;;;;;;;;;
defence_1.96;+1 Defence;;;;;;;;;;;;;;
defence_1.97;+1 Defence;;;;;;;;;;;;;;
defence_1.98;+1 Defence;;;;;;;;;;;;;;
defence_1.99;+1 Defence;;;;;;;;;;;;;;
defence_1.100;+1 Defence;;;;;;;;;;;;;;
defence_1.101;+1 Defence;;;;;;;;;;;;;;
defence_1.102;+1 Defence;;;;;;;;;;;;;;
defence_1.103;+1 Defence;;;;;;;;;;;;;;
defence_1.104;+1 Defence;;;;;;;;;;;;;;
defence_1.105;+1 Defence;;;;;;;;;;;;;;
defence_1.106;+1 Defence;;;;;;;;;;;;;;
defence_1.107;+1 Defence;;;;;;;;;;;;;;
defence_1.108;+1 Defence;;;;;;;;;;;;;;
defence_1.109;+1 Defence;;;;;;;;;;;;;;
defence_1.110;+1 Defence;;;;;;;;;;;;;;
defence_1.111;+1 Defence;;;;;;;;;;;;;;
defence_1.112;+1 Defence;;;;;;;;;;;;;;
defence_1.113;+1 Defence;;;;;;;;;;;;;;
defence_1.114;+1 Defence;;;;;;;;;;;;;;
defence_1.115;+1 Defence;;;;;;;;;;;;;;
defence_1.116;+1 Defence;;;;;;;;;;;;;;
